"","movie_nm","score","reg_date","contents"
"79","여교사","0.0","2015.07.07","이원근이랑 김하늘은 너무 좋아근데 왜 하필이면 정사신이나오는 격정멜로냐고 "
"80","손님","10.0","2015.07.07","이성민 배우님 때문에 꼭볼랍니다 "
"81","고녀석 맛나겠다2 : 함께라서 행복해","10.0","2015.07.07","화도넘재미있었지만이번화도기대함니다 "
"82","손님","1.0","2015.07.07","류승룡 그닥 연기 잘하는것같지도 않다더찰하는 사람 열라 많음 사람도 싫다 "
"83","손님","0.0","2015.07.07","이성민뒤도않돌아보는군개버릇남주는거아니지 "
"84","여교사","1.0","2015.07.07","너무 ㅈㄹ적 이라 싫음 "
"85","조작된 도시(가제)","10.0","2015.07.07","오정세 배우 완전 기대하고 있어요 "
"86","조작된 도시(가제)","10.0","2015.07.07","드디어 기사가 났네요무엇을 하던 항상 어떤 선택을 하실땐 역활에 대해서많은 연구와 고민을 그 역활에 맞게끔 노력하시는 배우님이십니다꼭 성공할꺼라 믿고 늘 곁에 있겠습니다몸 조심하시고 다치시지 않으셨으면좋겠습니다 "
"87","메이즈 러너: 스코치 트라이얼","3.0","2015.07.07","편이 결국 되게 병맛이었던 기억이 있는데 편도 나오네ㅋㅋ "
"88","원령","10.0","2015.07.07","기대된다 "
"89","손님","10.0","2015.07.07","기대됨 "
"90","퇴마 : 무녀굴","10.0","2015.07.07","기대돼요 "
"91","손님","0.0","2015.07.07","먼 평점을 보기도 전에 쓰냐점쟁이 빤수입고 다니냐 "
"92","손님","10.0","2015.07.07","이성민 류승룡 믿고 봐야죵 "
"93","손님","10.0","2015.07.07","이 영화를 꼭 볼 생각입니다 "
"94","조작된 도시(가제)","10.0","2015.07.07","지창욱 배우님이번 액션과 백수역할 넘 기대되네요조심히촬영하시구 영화 대박시길 "
"95","조작된 도시(가제)","10.0","2015.07.07","연기력비쥬얼 어느하나 놓치지않는 영화예감 기대할께요 "
"96","조작된 도시(가제)","10.0","2015.07.07","얼른 개봉해라지배우님 기대됨ㅎㅎ "
"97","암살","10.0","2015.07.07","이영화 미션시리즈 꼭밀어내길 "
"98","손님","1.0","2015.07.07","하필 류승륭 "
"99","손님","10.0","2015.07.07","이성민님 연기 기대됩니다 "
"100","손님","10.0","2015.07.07","약속을 지키지 않은 너희들 손님이 찾아갈 것이다 "
"101","귀향","10.0","2015.07.07","예고편만봐도가슴이아픕니다빠른시일안에개봉하기를기대해봅니다 "
"102","귀향","10.0","2015.07.07","소수였지만 제작비 까지 시민들의 참여로 이루어진 꼭 보러 가야하는 반듯이 봐야하는 의무가 있는 영화 꼭 보겠습니다 한국의 권력 갑질에 무릎 꿇지 마시고 힘내세요 "
"103","조작된 도시(가제)","10.0","2015.07.07","박감독님과 지배우님의 콤비 기대할께요 개봉박두 "
"104","조작된 도시(가제)","10.0","2015.07.07","너무 기대되고 연기력도 기대되네요꼭 보고싶네요 "
"105","손님","10.0","2015.07.07","영화재미있으것같다 꼭봐야지 "
"106","조작된 도시(가제)","10.0","2015.07.07","지창욱 심은경 두배우 다 기대됩니다 믿고보는 배우 "
"107","조작된 도시(가제)","10.0","2015.07.07","지창욱배우가 힐러 끝나고 많은 시나리오중 선택한 영화라 무지 기대됩니다빨리 보고싶은 영화 개봉이 올해면 좋으련만 "
"108","조작된 도시(가제)","10.0","2015.07.07","믿고보는 지창욱배우요번에도 흥행대박 예약완료ㅎㅎ "
"109","손님","8.0","2015.07.07","류승룡때문에 안본다는 애들 돈없어 못보는건 아니구 말이 되는 소리를 해라 지들은 얼마나 깨끗하길래 여기서 안본다고 나대봤자 볼 사람이 더 많다는걸 알아둬라 찌질이들아 "
"110","더 디너","8.0","2015.07.07","아무리 나쁜인간이라도 나쁜면만 있을 순 없고 아무리 선한 사람이라도 그 안에 악마적인 요소는 항상 있을 수 있다는인간에 대한 고찰을 해볼만한 영화 헐리웃 영화가 지겹다면 추천 "
"111","손님","5.0","2015.07.07","류승룡 땜에 안보고 싶은 영화 "
"112","손님","1.0","2015.07.07","ㅁㄹ "
"113","조작된 도시(가제)","10.0","2015.07.07","너무너무 멋지신 지창욱님기대가 기대가 기대가 되요힘내세요 응원할께요 "
"114","잡아야 산다","10.0","2015.07.07","영화진짜개되요 재미있겠당 꼭 보러가야쥥혁이오빠의 연기볼수있다니기분이좋고기대되네요 혁오빠화이팅영화대박나세요 "
"115","바이킹 덤 : 제국의 부활","0.0","2015.07.07","쓰레기 "
"116","러덜리스","10.0","2015.07.07","이 영화 잘되면 좋겠다 "
"117","동창회의 목적","10.0","2015.07.07","연애의 목적 후속 "
"118","조작된 도시(가제)","10.0","2015.07.07","배우님첫주연영화 기다리고있음돠 개봉만하세요 "
"119","조작된 도시(가제)","10.0","2015.07.07","벌써부터기대되요 빨리 보고싶어요 안전하게촬영들하셨음좋겠네요 지창욱배우님 넘좋아요 더운날씨에 화이팅요♡ "
"120","홀로코스트","1.0","2015.07.07","유태인 피해자 코스프레 영환가 "
"121","조작된 도시(가제)","10.0","2015.07.07","지창욱 배우님 첫 주연작 조작된도시 너무 기대됩니다매작품마다 온전히 그 인물이 되어 연기하는 모습을 보면서 진짜 배우로 성장하고 있구나 느꼈어요앞으로 나날이 좋은배우로 성장하는 지창욱 배우님을 응원합니다 "
"122","귀향","10.0","2015.07.07","꼭 보겠습니다 관객수가 부족할까 걱정된다면 저 혼자라도 두번보고 세번보고 열번도 더 보겠습니다 부디 좋은 배급사를 찾아 빠른시일내에 개봉할 수 있기를 진심으로 응원합니다 이 영화는 꼭 개봉해야만 합니다 제발 부탁드립니다 더 늦기전에 할머니들께 영화를 선물하고싶습니다 귀향 응원합니다 "
"123","조작된 도시(가제)","10.0","2015.07.07","힐러 지창욱 새로운 작품이 영화라니 기대기대 "
"124","조작된 도시(가제)","10.0","2015.07.07","대박기대됩니다 지창욱배우가 어떤모습으로 나올지요 "
"125","손님","5.0","2015.07.07","이성민이준만 기대됨 그러나 이 작품은 류승룡땜에 망할듯 연기도 그닥 잘하지 못하는데 이미지메이킹땜에 뜬 케이스 "
"126","손님","0.0","2015.07.07","아무리 잼있다고 해도 류승룡 재수 없어서 안봄 더이상 아무곳에서도 류승룡 보고 싶지 않음 밥맛 떨어짐 "
"127","손님","10.0","2015.07.07","배우분들의 연기 기대되네요 "
"128","귀향","10.0","2015.07.07","꼭 보겠습니다 "
"129","조작된 도시(가제)","10.0","2015.07.07","정말기대됩니다 지창욱배우의 첫주연작이라 "
"130","악인은 살아 있다","10.0","2015.07.07","진지하고 재미있을것 같아요 "
"131","손님","1.0","2015.07.07","류승 그만 "
"132","귀향","7.0","2015.07.07","연평해전은 안봐도 이 영화 소수의견은 꼭 봅니다 연평해전과 국제시장에는 상영관이 횡포처럼 많은데 소수의견은 상영관과 시간을 맞추지 못해서 못보고 이 영화는 아예 배급이 불투명하다뇨 참 답답하네요 "
"133","인사이드 아웃","10.0","2015.07.07","애들하고 주말에 터미네이터 볼려고 했는데 이 영화를 봐야겠네 "
"134","더 리치","10.0","2015.07.07","무엇보다 배우들의 연기가 기대된다 "
"135","더 리치","10.0","2015.07.07","영화로는 어떻게 풀어냈을지 궁금하네요 재밌게 읽었던 책인데 "
"136","더 리치","10.0","2015.07.07","예고편 보니까 재밌어 보이더라구요 "
"137","더 리치","9.0","2015.07.07","엄청난 명작 기대 안할 수가 없다 더군다나 마이클더글라스 "
"138","더 리치","10.0","2015.07.07","슈퍼카 보는 재미가 쏠쏠할것 같다 "
"139","더 리치","10.0","2015.07.07","책 진짜 재밌게 읽었는데ㅎㅎ 영화도 나오네요 "
"140","더 리치","10.0","2015.07.07","기대됩니다 ㅎㅎ "
"141","조작된 도시(가제)","10.0","2015.07.07","지창욱 주연 조작된도시 흥해라정말 기대합니다 "
"142","손님","10.0","2015.07.07","역쉬믿고보는 배우들 짱 "
"143","귀향","10.0","2015.07.07","꼭 보러가겠습더 "
"144","손님","8.0","2015.07.07","보지는 않았지만 재미있을것 같던데 "
"145","조작된 도시(가제)","10.0","2015.07.07","완전기대만발 지배우를 스크린에서 볼수있다니 ㅎㅎㅎ "
"146","조작된 도시(가제)","10.0","2015.07.07","지배우 액션 기대기대 "
"147","조작된 도시(가제)","10.0","2015.07.07","대박기원합니다 "
"148","헤일로: 슈퍼 솔저","10.0","2015.07.07","헤일로 게임 실사화했네요 "
"149","손님","10.0","2015.07.07","믿고 보는 배우들기대 "
"150","조작된 도시(가제)","10.0","2015.07.07","지창욱배우님의 액션 완전 기대기대조작된 도시 대박기원합니다 "
